"Site","Channel","Date (UTC)","Value"
"SS16/1","T648 C1:TEMP","1481667886286","43.0"
"SS16/1","T648 C1:TEMP","1481689353086","41.0"
"SS16/1","T648 C1:TEMP","1481693804486","39.0"
"SS16/1","T648 C1:TEMP","1481702434586","37.0"
"SS16/1","T648 C1:TEMP","1481702645176","39.0"
"SS16/1","T648 C1:TEMP","1481703533486","37.0"
"SS16/1","T648 C1:TEMP","1481703653196","39.0"
"SS16/1","T648 C1:TEMP","1481704086986","37.0"
"SS16/1","T648 C1:TEMP","1481705120186","39.0"
"SS16/1","T648 C1:TEMP","1481712878186","41.0"
"SS16/1","T648 C1:TEMP","1481715757296","43.0"
"SS16/1","T648 C1:TEMP","1481720562386","45.0"
"SS16/1","T648 C1:TEMP","1481720586696","43.0"
"SS16/1","T648 C1:TEMP","1481720664086","45.0"
"SS16/1","T648 C1:TEMP","1481721594686","43.0"
"SS16/1","T648 C1:TEMP","1481729598386","41.0"
"SS16/1","T648 C1:TEMP","1481733225386","39.0"
"SS16/1","T648 C1:TEMP","1481736607596","37.0"
"SS16/1","T648 C1:TEMP","1481736736296","39.0"
"SS16/1","T648 C1:TEMP","1481736756986","37.0"
"SS16/1","T648 C1:TEMP","1481737189886","39.0"
"SS16/1","T648 C1:TEMP","1481737194396","37.0"
"SS16/1","T648 C1:TEMP","1481752616786","35.0"
"SS16/1","T648 C1:TEMP","1481768496396","37.0"
"SS16/1","T648 C1:TEMP","1481776673796","39.0"
"SS16/1","T648 C1:TEMP","1481776739486","37.0"
"SS16/1","T648 C1:TEMP","1481780109096","39.0"
"SS16/1","T648 C1:TEMP","1481780134286","37.0"
"SS16/1","T648 C1:TEMP","1481780228786","39.0"
"SS16/1","T648 C1:TEMP","1481780334086","37.0"
"SS16/1","T648 C1:TEMP","1481780544686","39.0"
"SS16/1","T648 C1:TEMP","1481785324586","41.0"
"SS16/1","T648 C1:TEMP","1481786026586","39.0"
"SS16/1","T648 C1:TEMP","1481788173086","41.0"
"SS16/1","T648 C1:TEMP","1481790638186","39.0"
"SS16/1","T648 C1:TEMP","1481791214196","41.0"
"SS16/1","T648 C1:TEMP","1481793057396","39.0"
"SS16/1","T648 C1:TEMP","1481797991186","41.0"
"SS16/1","T648 C1:TEMP","1481798370096","39.0"
"SS16/1","T648 C1:TEMP","1481802331896","41.0"
"SS16/1","T648 C1:TEMP","1481807392586","39.0"
"SS16/1","T648 C1:TEMP","1481814328896","41.0"
"SS16/1","T648 C1:TEMP","1481819693796","39.0"
"SS16/1","T648 C1:TEMP","1481821950096","41.0"
"SS16/1","T648 C1:TEMP","1481831851886","39.0"
"SS16/1","T648 C1:TEMP","1481834175686","41.0"
"SS16/1","T648 C1:TEMP","1481857935686","39.0"
"SS16/1","T648 C1:TEMP","1481868055286","41.0"
"SS16/1","T648 C1:TEMP","1481877010286","39.0"
"SS16/1","T648 C1:TEMP","1481888850686","41.0"
"SS16/1","T648 C1:TEMP","1481902402896","39.0"
"SS16/1","T648 C1:TEMP","1481908782086","37.0"
"SS16/1","T648 C1:TEMP","1481918248296","39.0"
"SS16/1","T648 C1:TEMP","1481926899086","37.0"
"SS16/1","T648 C1:TEMP","1481927155586","39.0"
